,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
496,Cat_Cow_Pose_or_Marjaryasana_,2_27.jpg,5,18,7,both
3345,Plank_Pose_or_Kumbhakasana_,96.jpg,4,16,44,both
24,Akarna_Dhanurasana,19.jpg,1,8,0,both
3334,Pigeon_Pose_or_Kapotasana_,431.jpg,5,17,43,both
1550,Eight-Angle_Pose_or_Astavakrasana_,267.jpg,2,10,19,both
7325,Child_Pose_or_Balasana_,203.jpg,4,14,9,both
2017,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_161.jpg,3,11,23,both
8103,Supported_Headstand_pose_or_Salamba_Sirsasana_,176.jpg,3,11,63,both
6436,Frog_Pose_or_Bhekasana,1_68.jpg,4,14,27,both
6655,Plow_Pose_or_Halasana_,523.jpg,3,12,45,both
2395,Garland_Pose_or_Malasana_,282.jpg,1,4,28,both
254,Bow_Pose_or_Dhanurasana_,427.jpg,5,19,4,both
1369,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana_,363.jpg,0,1,17,both
4144,Side_Plank_Pose_or_Vasisthasana_,391.jpg,4,15,56,both
6452,Garland_Pose_or_Malasana_,329.jpg,1,4,28,both
8309,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,83.jpg,0,1,77,both
5566,Warrior_II_Pose_or_Virabhadrasana_II_,471.jpg,0,3,74,both
3909,Seated_Forward_Bend_pose_or_Paschimottanasana_,295.jpg,1,7,52,both
2054,Firefly_Pose_or_Tittibhasana_,2.jpg,2,9,24,both
5720,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,471.jpg,0,1,77,both
5926,viparita_virabhadrasana_or_reverse_warrior_pose,15.jpg,0,2,81,both
1070,Corpse_Pose_or_Savasana_,441.jpg,4,13,12,both
3294,Peacock_Pose_or_Mayurasana_,290.jpg,4,16,42,both
7280,Cat_Cow_Pose_or_Marjaryasana_,1_195.jpg,5,18,7,both
6937,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_207.jpg,3,11,64,both
4115,Side_Plank_Pose_or_Vasisthasana_,512.jpg,4,15,56,both
3989,Side-Reclining_Leg_Lift_pose_or_Anantasana_,3.jpg,4,15,54,both
3431,Plow_Pose_or_Halasana_,369.jpg,3,12,45,both
2440,Gate_Pose_or_Parighasana_,422.jpg,0,2,29,both
5864,Yogic_sleep_pose,2_145.jpg,4,13,80,both
3349,Plank_Pose_or_Kumbhakasana_,91.jpg,4,16,44,both
344,Bridge_Pose_or_Setu_Bandha_Sarvangasana_,93.jpg,5,17,5,both
7730,Handstand_pose_or_Adho_Mukha_Vrksasana_,228.jpg,3,11,32,both
5437,Virasana_or_Vajrasana,2_337.jpg,1,5,72,both
3407,Plow_Pose_or_Halasana_,155.jpg,3,12,45,both
6087,Child_Pose_or_Balasana_,86.jpg,4,14,9,both
6566,Locust_Pose_or_Salabhasana_,505.jpg,4,14,38,both
980,Cockerel_Pose,2_42.jpg,2,9,11,both
5111,Tree_Pose_or_Vrksasana_,433.jpg,0,0,68,both
4123,Side_Plank_Pose_or_Vasisthasana_,39.jpg,4,15,56,both
7796,Lord_of_the_Dance_Pose_or_Natarajasana_,221.jpg,0,3,39,both
8034,Split pose,2_363.jpg,1,6,58,both
4924,Supta_Virasana_Vajrasana,4_192.jpg,4,13,66,both
2530,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_372.jpg,1,5,30,both
2429,Gate_Pose_or_Parighasana_,356.jpg,0,2,29,both
2141,Fish_Pose_or_Matsyasana_,226.jpg,4,13,25,both
2313,Frog_Pose_or_Bhekasana,2_31.jpg,4,14,27,both
3958,Shoulder-Pressing_Pose_or_Bhujapidasana_,77.jpg,2,9,53,both
310,Bridge_Pose_or_Setu_Bandha_Sarvangasana_,666.jpg,5,17,5,both
169,Bound_Angle_Pose_or_Baddha_Konasana_,1_607.jpg,1,4,3,both
4359,Split pose,2_433.jpg,1,6,58,both
7505,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_483.jpg,0,2,21,both
7135,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,550.jpg,0,1,77,both
2134,Fish_Pose_or_Matsyasana_,577.jpg,4,13,25,both
5846,Wind_Relieving_pose_or_Pawanmuktasana,156.jpg,4,13,79,both
6217,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,340.jpg,0,1,16,both
1014,Cockerel_Pose,2_185.jpg,2,9,11,both
2251,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,305.jpg,4,16,26,both
7891,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana_,27.jpg,4,13,48,both
7908,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_40.jpg,1,7,49,both
8124,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_164.jpg,3,11,64,both
4027,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,2_180.jpg,2,10,55,both
1989,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_9.jpg,3,11,23,both
2521,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_395.jpg,1,5,30,both
1928,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_353.jpg,0,2,22,both
443,Camel_Pose_or_Ustrasana_,6.jpg,5,17,6,both
8126,Supta_Baddha_Konasana_,1_419.jpg,4,13,65,both
6704,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_32.jpg,1,7,49,both
7876,Rajakapotasana,398.jpg,1,8,47,both
323,Bridge_Pose_or_Setu_Bandha_Sarvangasana_,434.jpg,5,17,5,both
4462,Standing_Forward_Bend_pose_or_Uttanasana_,1_641.jpg,0,1,60,both
3409,Plow_Pose_or_Halasana_,281.jpg,3,12,45,both
2644,Handstand_pose_or_Adho_Mukha_Vrksasana_,142.jpg,3,11,32,both
5895,Yogic_sleep_pose,1_171.jpg,4,13,80,both
5473,Warrior_III_Pose_or_Virabhadrasana_III_,474.jpg,0,3,73,both
7760,Heron_Pose_or_Krounchasana_,2_146.jpg,1,8,35,both
512,Cat_Cow_Pose_or_Marjaryasana_,1_483.jpg,5,18,7,both
1884,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_520.jpg,0,2,22,both
359,Camel_Pose_or_Ustrasana_,503.jpg,5,17,6,both
798,Cobra_Pose_or_Bhujangasana_,1_281.jpg,4,14,10,both
188,Bound_Angle_Pose_or_Baddha_Konasana_,1_178.jpg,1,4,3,both
1931,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_130.jpg,0,2,22,both
6370,Firefly_Pose_or_Tittibhasana_,279.jpg,2,9,24,both
2477,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_38.jpg,1,5,30,both
6793,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,1_232.jpg,2,10,55,both
3310,Peacock_Pose_or_Mayurasana_,504.jpg,4,16,42,both
4936,Supta_Virasana_Vajrasana,3_127.jpg,4,13,66,both
1890,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_539.jpg,0,2,22,both
4733,Supported_Headstand_pose_or_Salamba_Sirsasana_,149.jpg,3,11,63,both
4886,Supta_Baddha_Konasana_,1_457.jpg,4,13,65,both
6151,Cockerel_Pose,4_380.jpg,2,9,11,both
4846,Supta_Baddha_Konasana_,2_109.jpg,4,13,65,both
8329,Wind_Relieving_pose_or_Pawanmuktasana,26.jpg,4,13,79,both
2658,Handstand_pose_or_Adho_Mukha_Vrksasana_,410.jpg,3,11,32,both
5630,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_264.jpg,1,6,76,both
6057,Camel_Pose_or_Ustrasana_,411.jpg,5,17,6,both
