,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
4266,Sitting pose 1 (normal),3_48.jpg,1,4,57,both
7792,Locust_Pose_or_Salabhasana_,185.jpg,4,14,38,both
8319,Wild_Thing_pose_or_Camatkarasana_,66.jpg,5,17,78,both
1585,Extended_Puppy_Pose_or_Uttana_Shishosana_,199.jpg,4,14,20,both
9,Akarna_Dhanurasana,73.jpg,1,8,0,both
1103,Cow_Face_Pose_or_Gomukhasana_,113.jpg,1,5,13,both
3885,Seated_Forward_Bend_pose_or_Paschimottanasana_,517.jpg,1,7,52,both
7881,Rajakapotasana,400.jpg,1,8,47,both
1001,Cockerel_Pose,4_467.jpg,2,9,11,both
4420,Split pose,2_307.jpg,1,6,58,both
2274,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,299.jpg,4,16,26,both
6337,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_434.jpg,0,2,22,both
3467,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,2_89.jpg,2,10,46,both
2926,Legs-Up-the-Wall_Pose_or_Viparita_Karani_,2.jpg,3,11,37,both
8038,Split pose,3_484.jpg,1,6,58,both
1644,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_250.jpg,0,2,21,both
7264,Camel_Pose_or_Ustrasana_,114.jpg,5,17,6,both
42,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,3.jpg,1,5,1,both
54,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,198.jpg,1,5,1,both
1714,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_148.jpg,0,2,21,both
1957,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_492.jpg,3,11,23,both
1665,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,5_416.jpg,0,2,21,both
6983,Supta_Virasana_Vajrasana,3_122.jpg,4,13,66,both
3174,Low_Lunge_pose_or_Anjaneyasana_,154.jpg,0,2,40,both
1113,Cow_Face_Pose_or_Gomukhasana_,147.jpg,1,5,13,both
4374,Split pose,3_633.jpg,1,6,58,both
370,Camel_Pose_or_Ustrasana_,95.jpg,5,17,6,both
3399,Plow_Pose_or_Halasana_,442.jpg,3,12,45,both
3414,Plow_Pose_or_Halasana_,144.jpg,3,12,45,both
1621,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_173.jpg,0,2,21,both
4812,Supta_Baddha_Konasana_,1_451.jpg,4,13,65,both
7354,Cobra_Pose_or_Bhujangasana_,1_13.jpg,4,14,10,both
856,Cobra_Pose_or_Bhujangasana_,3_308.jpg,4,14,10,both
4941,Supta_Virasana_Vajrasana,4_70.jpg,4,13,66,both
1515,Eight-Angle_Pose_or_Astavakrasana_,324.jpg,2,10,19,both
4607,Standing_Split_pose_or_Urdhva_Prasarita_Eka_Padasana_,1_70.jpg,0,3,61,both
5484,Warrior_III_Pose_or_Virabhadrasana_III_,349.jpg,0,3,73,both
5397,Virasana_or_Vajrasana,2_242.jpg,1,5,72,both
5545,Warrior_II_Pose_or_Virabhadrasana_II_,443.jpg,0,3,74,both
467,Cat_Cow_Pose_or_Marjaryasana_,2_100.jpg,5,18,7,both
27,Akarna_Dhanurasana,79.jpg,1,8,0,both
3965,Shoulder-Pressing_Pose_or_Bhujapidasana_,46.jpg,2,9,53,both
6660,Plow_Pose_or_Halasana_,503.jpg,3,12,45,both
7724,Handstand_pose_or_Adho_Mukha_Vrksasana_,244.jpg,3,11,32,both
466,Cat_Cow_Pose_or_Marjaryasana_,2_67.jpg,5,18,7,both
5634,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_120.jpg,1,6,76,both
4689,Supported_Headstand_pose_or_Salamba_Sirsasana_,457.jpg,3,11,63,both
3599,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana_,18.jpg,4,13,48,both
6528,Happy_Baby_Pose_or_Ananda_Balasana_,82.jpg,4,13,33,both
6332,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_336.jpg,0,2,22,both
5248,Upward_Facing_Two-Foot_Staff_Pose_or_Dwi_Pada_Viparita_Dandasana_,63.jpg,5,17,70,both
3824,Scorpion_pose_or_vrischikasana,1_187.jpg,3,12,51,both
8149,Supta_Baddha_Konasana_,2_533.jpg,4,13,65,both
5542,Warrior_II_Pose_or_Virabhadrasana_II_,485.jpg,0,3,74,both
4074,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,2_81.jpg,2,10,55,both
4434,Staff_Pose_or_Dandasana_,220.jpg,1,4,59,both
3716,Scale_Pose_or_Tolasana_,1_38.jpg,2,9,50,both
2692,Handstand_pose_or_Adho_Mukha_Vrksasana_,52.jpg,3,11,32,both
5368,Virasana_or_Vajrasana,2_221.jpg,1,5,72,both
4172,Side_Plank_Pose_or_Vasisthasana_,405.jpg,4,15,56,both
863,Cobra_Pose_or_Bhujangasana_,1_19.jpg,4,14,10,both
5703,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,507.jpg,0,1,77,both
3483,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,1_168.jpg,2,10,46,both
5479,Warrior_III_Pose_or_Virabhadrasana_III_,43.jpg,0,3,73,both
7217,Boat_Pose_or_Paripurna_Navasana_,638.jpg,5,19,2,both
533,Cat_Cow_Pose_or_Marjaryasana_,2_33.jpg,5,18,7,both
5370,Virasana_or_Vajrasana,2_580.jpg,1,5,72,both
1081,Corpse_Pose_or_Savasana_,357.jpg,4,13,12,both
722,Cobra_Pose_or_Bhujangasana_,3_381.jpg,4,14,10,both
7941,Scorpion_pose_or_vrischikasana,1_300.jpg,3,12,51,both
4223,Sitting pose 1 (normal),2_60.jpg,1,4,57,both
8074,Standing_Split_pose_or_Urdhva_Prasarita_Eka_Padasana_,1_100.jpg,0,3,61,both
5268,Upward_Plank_Pose_or_Purvottanasana_,148.jpg,5,17,71,both
4476,Standing_Forward_Bend_pose_or_Uttanasana_,1_193.jpg,0,1,60,both
7048,Upward_Plank_Pose_or_Purvottanasana_,95.jpg,5,17,71,both
2565,Half_Moon_Pose_or_Ardha_Chandrasana_,117.jpg,0,2,31,both
159,Bound_Angle_Pose_or_Baddha_Konasana_,1_177.jpg,1,4,3,both
7333,Cobra_Pose_or_Bhujangasana_,3_510.jpg,4,14,10,both
3884,Seated_Forward_Bend_pose_or_Paschimottanasana_,446.jpg,1,7,52,both
5702,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,312.jpg,0,1,77,both
7567,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,1_300.jpg,3,11,23,both
146,Bound_Angle_Pose_or_Baddha_Konasana_,1_533.jpg,1,4,3,both
3118,Lord_of_the_Dance_Pose_or_Natarajasana_,443.jpg,0,3,39,both
