,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
4359,Garland_Pose_or_Malasana_,257.jpg,1,4,28,both
4279,Garland_Pose_or_Malasana_,0_419.jpg,1,4,28,both
12075,Half_Moon_Pose_or_Ardha_Chandrasana_,387.jpg,0,2,31,both
738,Bridge_Pose_or_Setu_Bandha_Sarvangasana_,0_340.jpg,5,17,5,both
8664,Standing_Split_pose_or_Urdhva_Prasarita_Eka_Padasana_,1_105.jpg,0,3,61,both
3527,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_276.jpg,0,2,22,both
12394,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana_,45.jpg,4,13,48,both
4822,Half_Moon_Pose_or_Ardha_Chandrasana_,527.jpg,0,2,31,both
15004,Warrior_I_Pose_or_Virabhadrasana_I_,1_531.jpg,0,2,75,both
9493,Tortoise_Pose,2_0_222.jpg,1,7,67,both
7334,Side-Reclining_Leg_Lift_pose_or_Anantasana_,300.jpg,4,15,54,both
3336,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_358.jpg,0,2,21,both
13127,Wild_Thing_pose_or_Camatkarasana_,272.jpg,5,17,78,both
3072,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_8.jpg,0,2,21,both
894,Camel_Pose_or_Ustrasana_,467.jpg,5,17,6,both
3080,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_152.jpg,0,2,21,both
4191,Frog_Pose_or_Bhekasana,1_115.jpg,4,14,27,both
871,Camel_Pose_or_Ustrasana_,44.jpg,5,17,6,both
11141,Yogic_sleep_pose,2_125.jpg,4,13,80,both
12478,Seated_Forward_Bend_pose_or_Paschimottanasana_,429.jpg,1,7,52,both
2498,Crane_(Crow)_Pose_or_Bakasana_,1_522.jpg,2,9,14,both
12928,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,18.jpg,5,17,69,both
566,Bow_Pose_or_Dhanurasana_,0_635.jpg,5,19,4,both
2150,Cow_Face_Pose_or_Gomukhasana_,501.jpg,1,5,13,both
8071,Sitting pose 1 (normal),2_0_206.jpg,1,4,57,both
7044,Seated_Forward_Bend_pose_or_Paschimottanasana_,331.jpg,1,7,52,both
13367,Cat_Cow_Pose_or_Marjaryasana_,2_409.jpg,5,18,7,both
13028,Warrior_II_Pose_or_Virabhadrasana_II_,114.jpg,0,3,74,both
6430,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,1_95.jpg,2,10,46,both
14528,Sitting pose 1 (normal),2_290.jpg,1,4,57,both
2769,Eagle_Pose_or_Garudasana_,439.jpg,0,0,18,both
8584,Standing_Forward_Bend_pose_or_Uttanasana_,2_0_214.jpg,0,1,60,both
12315,Plank_Pose_or_Kumbhakasana_,252.jpg,4,16,44,both
10964,Wild_Thing_pose_or_Camatkarasana_,166.jpg,5,17,78,both
1176,Chair_Pose_or_Utkatasana_,0_146.jpg,0,0,8,both
3304,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_86.jpg,0,2,21,both
306,Bound_Angle_Pose_or_Baddha_Konasana_,1_542.jpg,1,4,3,both
769,Camel_Pose_or_Ustrasana_,39.jpg,5,17,6,both
12070,Half_Moon_Pose_or_Ardha_Chandrasana_,267.jpg,0,2,31,both
9619,Tree_Pose_or_Vrksasana_,0_235.jpg,0,0,68,both
7222,Seated_Forward_Bend_pose_or_Paschimottanasana_,280.jpg,1,7,52,both
4377,Garland_Pose_or_Malasana_,159.jpg,1,4,28,both
1516,Child_Pose_or_Balasana_,433.jpg,4,14,9,both
8497,Standing_Forward_Bend_pose_or_Uttanasana_,1_91.jpg,0,1,60,both
10178,Virasana_or_Vajrasana,1_618.jpg,1,5,72,both
1003,Cat_Cow_Pose_or_Marjaryasana_,2_372.jpg,5,18,7,both
14322,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana_,1_302.jpg,1,7,49,both
5342,Intense_Side_Stretch_Pose_or_Parsvottanasana_,168.jpg,0,1,36,both
11071,Wind_Relieving_pose_or_Pawanmuktasana,20.jpg,4,13,79,both
14880,Upward_Plank_Pose_or_Purvottanasana_,19.jpg,5,17,71,both
3517,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_384.jpg,0,2,22,both
9306,Supta_Virasana_Vajrasana,3_0_162.jpg,4,13,66,both
4258,Frog_Pose_or_Bhekasana,2_107.jpg,4,14,27,both
14103,Legs-Up-the-Wall_Pose_or_Viparita_Karani_,450.jpg,3,11,37,both
3334,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_76.jpg,0,2,21,both
9308,Supta_Virasana_Vajrasana,1_0_130.jpg,4,13,66,both
325,Bound_Angle_Pose_or_Baddha_Konasana_,1_56.jpg,1,4,3,both
6932,Scorpion_pose_or_vrischikasana,1_175.jpg,3,12,51,both
4100,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,505.jpg,4,16,26,both
7538,Side_Plank_Pose_or_Vasisthasana_,301.jpg,4,15,56,both
8885,Supported_Headstand_pose_or_Salamba_Sirsasana_,466.jpg,3,11,63,both
10866,Wide-Legged_Forward_Bend_pose_or_Prasarita_Padottanasana_,0_365.jpg,0,1,77,both
10705,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_451.jpg,1,6,76,both
9285,Supta_Baddha_Konasana_,2_439.jpg,4,13,65,both
2709,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana_,121.jpg,0,1,17,both
7917,Sitting pose 1 (normal),3_0_377.jpg,1,4,57,both
13479,Cobra_Pose_or_Bhujangasana_,3_599.jpg,4,14,10,both
1868,Cobra_Pose_or_Bhujangasana_,1_147.jpg,4,14,10,both
2762,Eagle_Pose_or_Garudasana_,419.jpg,0,0,18,both
7673,Sitting pose 1 (normal),1_106.jpg,1,4,57,both
3944,Fish_Pose_or_Matsyasana_,66.jpg,4,13,25,both
3381,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_96.jpg,0,2,22,both
13928,Gate_Pose_or_Parighasana_,30.jpg,0,2,29,both
7654,Side_Plank_Pose_or_Vasisthasana_,560.jpg,4,15,56,both
13974,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_365.jpg,1,5,30,both
12217,Lord_of_the_Dance_Pose_or_Natarajasana_,530.jpg,0,3,39,both
514,Bow_Pose_or_Dhanurasana_,427.jpg,5,19,4,both
8197,Split pose,3_57.jpg,1,6,58,both
17,Akarna_Dhanurasana,0_71.jpg,1,8,0,both
5417,Legs-Up-the-Wall_Pose_or_Viparita_Karani_,280.jpg,3,11,37,both
1679,Cobra_Pose_or_Bhujangasana_,3_249.jpg,4,14,10,both
3325,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_238.jpg,0,2,21,both
4664,Half_Moon_Pose_or_Ardha_Chandrasana_,492.jpg,0,2,31,both
4222,Frog_Pose_or_Bhekasana,1_170.jpg,4,14,27,both
7950,Sitting pose 1 (normal),3_254.jpg,1,4,57,both
13763,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_29.jpg,0,2,22,both
14149,Lord_of_the_Dance_Pose_or_Natarajasana_,106.jpg,0,3,39,both
7805,Sitting pose 1 (normal),1_303.jpg,1,4,57,both
7403,Side_Crane_(Crow)_Pose_or_Parsva_Bakasana_,1_102.jpg,2,10,55,both
8534,Standing_Forward_Bend_pose_or_Uttanasana_,1_606.jpg,0,1,60,both
7846,Sitting pose 1 (normal),3_422.jpg,1,4,57,both
13677,Extended_Puppy_Pose_or_Uttana_Shishosana_,89.jpg,4,14,20,both
12055,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_93.jpg,1,5,30,both
10053,Upward_Plank_Pose_or_Purvottanasana_,0_97.jpg,5,17,71,both
9125,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana_,2_157.jpg,3,11,64,both
3772,Feathered_Peacock_Pose_or_Pincha_Mayurasana_,2_52.jpg,3,11,23,both
13268,Bow_Pose_or_Dhanurasana_,596.jpg,5,19,4,both
2028,Corpse_Pose_or_Savasana_,295.jpg,4,13,12,both
3593,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_397.jpg,0,2,22,both
1816,Cobra_Pose_or_Bhujangasana_,3_525.jpg,4,14,10,both
9390,Supta_Virasana_Vajrasana,4_141.jpg,4,13,66,both
12950,Upward_Plank_Pose_or_Purvottanasana_,194.jpg,5,17,71,both
4122,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana_,75.jpg,4,16,26,both
7761,Sitting pose 1 (normal),1_16.jpg,1,4,57,both
10501,Warrior_II_Pose_or_Virabhadrasana_II_,297.jpg,0,3,74,both
11004,Wild_Thing_pose_or_Camatkarasana_,365.jpg,5,17,78,both
13946,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana_,1_290.jpg,1,5,30,both
