,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
8828,Supported_Headstand_pose_or_Salamba_Sirsasana_,298.jpg,3,11,63,both
1288,Chair_Pose_or_Utkatasana_,230.jpg,0,0,8,both
9564,Tree_Pose_or_Vrksasana_,400.jpg,0,0,68,both
472,Bow_Pose_or_Dhanurasana_,474.jpg,5,19,4,both
7208,Seated_Forward_Bend_pose_or_Paschimottanasana_,620.jpg,1,7,52,both
11813,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,3_37.jpg,0,2,21,both
7963,Sitting pose 1 (normal),3_0_145.jpg,1,4,57,both
1980,Cockerel_Pose,2_0_474.jpg,2,9,11,both
3380,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,2_0_2.jpg,0,2,22,both
382,Bound_Angle_Pose_or_Baddha_Konasana_,1_410.jpg,1,4,3,both
10939,Wild_Thing_pose_or_Camatkarasana_,93.jpg,5,17,78,both
1629,Cobra_Pose_or_Bhujangasana_,3_287.jpg,4,14,10,both
4501,Gate_Pose_or_Parighasana_,0_86.jpg,0,2,29,both
2881,Eagle_Pose_or_Garudasana_,411.jpg,0,0,18,both
2321,Cow_Face_Pose_or_Gomukhasana_,0_167.jpg,1,5,13,both
2156,Cow_Face_Pose_or_Gomukhasana_,348.jpg,1,5,13,both
8772,Standing_big_toe_hold_pose_or_Utthita_Padangusthasana,119.jpg,0,3,62,both
12504,Shoulder-Pressing_Pose_or_Bhujapidasana_,237.jpg,2,9,53,both
8293,Split pose,2_0_295.jpg,1,6,58,both
10662,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana_,2_425.jpg,1,6,76,both
2883,Eagle_Pose_or_Garudasana_,177.jpg,0,0,18,both
10982,Wild_Thing_pose_or_Camatkarasana_,0_288.jpg,5,17,78,both
9862,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,559.jpg,5,17,69,both
7122,Seated_Forward_Bend_pose_or_Paschimottanasana_,0_5.jpg,1,7,52,both
2537,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana_,541.jpg,4,16,15,both
13025,Warrior_II_Pose_or_Virabhadrasana_II_,318.jpg,0,3,74,both
12198,Locust_Pose_or_Salabhasana_,261.jpg,4,14,38,both
3916,Fish_Pose_or_Matsyasana_,218.jpg,4,13,25,both
11016,Wild_Thing_pose_or_Camatkarasana_,216.jpg,5,17,78,both
13701,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana_,1_440.jpg,0,2,21,both
1566,Cobra_Pose_or_Bhujangasana_,1_611.jpg,4,14,10,both
7627,Side_Plank_Pose_or_Vasisthasana_,0_514.jpg,4,15,56,both
13752,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana_,1_161.jpg,0,2,22,both
14745,Supta_Baddha_Konasana_,2_58.jpg,4,13,65,both
11989,Frog_Pose_or_Bhekasana,2_253.jpg,4,14,27,both
14879,Upward_Plank_Pose_or_Purvottanasana_,496.jpg,5,17,71,both
3,Akarna_Dhanurasana,200.jpg,1,8,0,both
6389,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II,1_207.jpg,2,10,46,both
975,Cat_Cow_Pose_or_Marjaryasana_,1_540.jpg,5,18,7,both
8021,Sitting pose 1 (normal),1_74.jpg,1,4,57,both
3859,Firefly_Pose_or_Tittibhasana_,252.jpg,2,9,24,both
13065,Warrior_I_Pose_or_Virabhadrasana_I_,1_449.jpg,0,2,75,both
10249,Virasana_or_Vajrasana,1_316.jpg,1,5,72,both
12898,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana_,228.jpg,5,17,69,both
14525,Sitting pose 1 (normal),1_488.jpg,1,4,57,both
179,Boat_Pose_or_Paripurna_Navasana_,0_427.jpg,5,19,2,both
13193,Akarna_Dhanurasana,20.jpg,1,8,0,both
14357,Scorpion_pose_or_vrischikasana,1_203.jpg,3,12,51,both
2048,Corpse_Pose_or_Savasana_,206.jpg,4,13,12,both
798,Camel_Pose_or_Ustrasana_,80.jpg,5,17,6,both
